observation_id,replicate,trial_seed,state,age,condition,first_action_delta_rms,first_action_delta_ee6_rms,first_action_delta_gripper_abs,gripper_sign_changed
rep_03_S8_age_11,3,42003,S8,11,stale_hidden_fresh_ref,0.16396369911674707,0.17701385164144504,0.013610303401947021,0
rep_03_S8_age_11,3,42003,S8,11,fresh_hidden_fresh_ref,0.1901158304980603,0.20526294114050594,0.014524221420288086,0
rep_03_S12_age_08,3,42003,S12,8,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_03_S12_age_08,3,42003,S12,8,fresh_hidden_empty_ref,0.7561853370474586,0.15137935451221524,1.966016173362732,1
rep_03_S12_age_08,3,42003,S12,8,stale_hidden_fresh_ref,0.11881435229072025,0.12822160131045726,0.013163506984710693,0
rep_03_S12_age_08,3,42003,S12,8,fresh_hidden_fresh_ref,0.10947382615388838,0.1181230660323277,0.013163506984710693,0
rep_03_S12_age_09,3,42003,S12,9,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_03_S12_age_09,3,42003,S12,9,fresh_hidden_empty_ref,0.7499989306718519,0.09945678584135448,1.969299077987671,1
rep_03_S12_age_09,3,42003,S12,9,stale_hidden_fresh_ref,0.13235605923627533,0.1428601750677453,0.013141810894012451,0
rep_03_S12_age_09,3,42003,S12,9,fresh_hidden_fresh_ref,0.12882494548949283,0.13904337384968618,0.013141810894012451,0
rep_03_S12_age_10,3,42003,S12,10,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_03_S12_age_10,3,42003,S12,10,fresh_hidden_empty_ref,0.7500156232216394,0.09821829196257216,1.969716489315033,1
rep_03_S12_age_10,3,42003,S12,10,stale_hidden_fresh_ref,0.10294065511762135,0.11106512552090124,0.0128326416015625,0
rep_03_S12_age_10,3,42003,S12,10,fresh_hidden_fresh_ref,0.09095057941900025,0.09809183555760935,0.013115108013153076,0
rep_03_S12_age_11,3,42003,S12,11,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_03_S12_age_11,3,42003,S12,11,fresh_hidden_empty_ref,0.7482415755990731,0.08639367254122754,1.9683178067207336,1
rep_03_S12_age_11,3,42003,S12,11,stale_hidden_fresh_ref,0.12622014222373426,0.13622798256257057,0.013125956058502197,0
rep_03_S12_age_11,3,42003,S12,11,fresh_hidden_fresh_ref,0.12550259482719692,0.13545233997982906,0.013125956058502197,0
rep_04_S8_age_08,4,42004,S8,8,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_04_S8_age_08,4,42004,S8,8,fresh_hidden_empty_ref,0.7569640427895385,0.14176487431162688,1.9724041819572449,1
rep_04_S8_age_08,4,42004,S8,8,stale_hidden_fresh_ref,0.7606445544061873,0.13791394741987362,1.9839202165603638,1
rep_04_S8_age_08,4,42004,S8,8,fresh_hidden_fresh_ref,0.7588347313911532,0.12574552429507824,1.9839202165603638,1
rep_04_S8_age_09,4,42004,S8,9,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_04_S8_age_09,4,42004,S8,9,fresh_hidden_empty_ref,0.1301986425502902,0.14040193498210948,0.019636332988739014,0
rep_04_S8_age_09,4,42004,S8,9,stale_hidden_fresh_ref,0.11525670383689614,0.12433594157653811,0.015237987041473389,0
rep_04_S8_age_09,4,42004,S8,9,fresh_hidden_fresh_ref,0.11940856482797112,0.12885874238649683,0.013467907905578613,0
rep_04_S8_age_10,4,42004,S8,10,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_04_S8_age_10,4,42004,S8,10,fresh_hidden_empty_ref,0.19210858698954356,0.20705371936319855,0.03335428237915039,0
rep_04_S8_age_10,4,42004,S8,10,stale_hidden_fresh_ref,0.15589691817246595,0.16827984724298578,0.01477503776550293,0
rep_04_S8_age_10,4,42004,S8,10,fresh_hidden_fresh_ref,0.17774392665205696,0.19190082247834275,0.013956010341644287,0
rep_04_S8_age_11,4,42004,S8,11,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_04_S8_age_11,4,42004,S8,11,fresh_hidden_empty_ref,0.15580239514354396,0.16799002993220852,0.0244295597076416,0
rep_04_S8_age_11,4,42004,S8,11,stale_hidden_fresh_ref,0.09145836177092341,0.09858840103606872,0.015309691429138184,0
rep_04_S8_age_11,4,42004,S8,11,fresh_hidden_fresh_ref,0.09790045574713786,0.10556434506182442,0.015116512775421143,0
rep_04_S12_age_08,4,42004,S12,8,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_04_S12_age_08,4,42004,S12,8,fresh_hidden_empty_ref,0.7488767189139004,0.08948837567791934,1.969178855419159,1
rep_04_S12_age_08,4,42004,S12,8,stale_hidden_fresh_ref,0.11897976331757115,0.12840367768960778,0.012971580028533936,0
rep_04_S12_age_08,4,42004,S12,8,fresh_hidden_fresh_ref,0.11120338782956381,0.11999356347131966,0.01313859224319458,0
rep_04_S12_age_09,4,42004,S12,9,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_04_S12_age_09,4,42004,S12,9,fresh_hidden_empty_ref,0.08165625160367938,0.08819669134669385,0.0015052556991577148,0
rep_04_S12_age_09,4,42004,S12,9,stale_hidden_fresh_ref,0.1319332140537364,0.14240289958338279,0.013156592845916748,0
rep_04_S12_age_09,4,42004,S12,9,fresh_hidden_fresh_ref,0.12843441308699413,0.13862100208824257,0.013156592845916748,0
rep_04_S12_age_10,4,42004,S12,10,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_04_S12_age_10,4,42004,S12,10,fresh_hidden_empty_ref,0.7484353528954537,0.08424446753042723,1.96939218044281,1
rep_04_S12_age_10,4,42004,S12,10,stale_hidden_fresh_ref,0.10814833048722217,0.11670318371114657,0.012435078620910645,0
