observation_id,replicate,trial_seed,state,age,effect,effect_rms,effect_ee6_rms,effect_gripper_abs
rep_02_S8_age_11,2,42002,S8,11,hidden_ref_interaction,0.2041292188288616,0.22023629700162914,0.025632143020629883
rep_02_S12_age_08,2,42002,S12,8,hidden_effect_at_empty_ref,0.7488377181787291,0.09859836318501543,1.9664627313613892
rep_02_S12_age_08,2,42002,S12,8,hidden_effect_at_fresh_ref,0.014324160705287171,0.015471792724051116,0.00011330842971801758
rep_02_S12_age_08,2,42002,S12,8,ref_effect_at_stale_hidden,0.11998182045831644,0.1294855968656294,0.013051509857177734
rep_02_S12_age_08,2,42002,S12,8,ref_effect_at_fresh_hidden,0.7664709062499526,0.17954494124818848,1.979627549648285
rep_02_S12_age_08,2,42002,S12,8,hidden_ref_interaction,0.7477827120383692,0.0883473926079462,1.9665760397911072
rep_02_S12_age_09,2,42002,S12,9,hidden_effect_at_empty_ref,0.7504073896904503,0.10721995014271174,1.9679436087608337
rep_02_S12_age_09,2,42002,S12,9,hidden_effect_at_fresh_ref,0.013669380286516007,0.014764618190806399,0.0
rep_02_S12_age_09,2,42002,S12,9,ref_effect_at_stale_hidden,0.12101079893899003,0.13059637695683382,0.013145804405212402
rep_02_S12_age_09,2,42002,S12,9,ref_effect_at_fresh_hidden,0.7729392511723017,0.20709512269365504,1.9810894131660461
rep_02_S12_age_09,2,42002,S12,9,hidden_ref_interaction,0.7493522393259939,0.0982339069242037,1.9679436087608337
rep_02_S12_age_10,2,42002,S12,10,hidden_effect_at_empty_ref,0.7487930132440449,0.07781008358127424,1.9719306230545044
rep_02_S12_age_10,2,42002,S12,10,hidden_effect_at_fresh_ref,0.019882171211102632,0.02147421100651261,0.0005046725273132324
rep_02_S12_age_10,2,42002,S12,10,ref_effect_at_stale_hidden,0.14330597904577594,0.15470253414096588,0.012608766555786133
rep_02_S12_age_10,2,42002,S12,10,ref_effect_at_fresh_hidden,0.7682177798458676,0.1782834691679886,1.9850440621376038
rep_02_S12_age_10,2,42002,S12,10,hidden_ref_interaction,0.7475119391458906,0.05904475548629085,1.9724352955818176
rep_02_S12_age_11,2,42002,S12,11,hidden_effect_at_empty_ref,0.7472347553473507,0.08065100744526393,1.9671021699905396
rep_02_S12_age_11,2,42002,S12,11,hidden_effect_at_fresh_ref,0.013369497071505492,0.014438853780486368,0.0005667209625244141
rep_02_S12_age_11,2,42002,S12,11,ref_effect_at_stale_hidden,0.10086582301574999,0.1088269830367954,0.012550950050354004
rep_02_S12_age_11,2,42002,S12,11,ref_effect_at_fresh_hidden,0.758866139451101,0.1353231345916899,1.980219841003418
rep_02_S12_age_11,2,42002,S12,11,hidden_ref_interaction,0.7464679181087723,0.06925749650766262,1.967668890953064
rep_03_S8_age_08,3,42003,S8,8,hidden_effect_at_empty_ref,0.09499370490840998,0.10251975249007153,0.0102386474609375
rep_03_S8_age_08,3,42003,S8,8,hidden_effect_at_fresh_ref,0.027159068195070444,0.02933514643043792,0.0
rep_03_S8_age_08,3,42003,S8,8,ref_effect_at_stale_hidden,0.7600568956709405,0.13408138879584075,1.9839199781417847
